Time North East
11:23:05 4734086.931 268233.712
11:23:07 4734089.371 268231.859
11:23:09 4734089.985 268227.371
11:23:11 4734090.134 268224.757
11:23:13 4734092.851 268222.025
11:23:15 4734092.251 268217.815
11:23:17 4734092.810 268215.898
11:23:19 4734096.512 268211.400
11:23:21 4734096.504 268208.873
11:23:23 4734099.403 268204.393
11:23:25 4734099.453 268201.981
11:23:27 4734099.339 268199.860
11:23:29 4734102.800 268195.194
11:23:31 4734102.555 268193.296
11:23:33 4734106.324 268188.664
11:23:35 4734106.103 268186.971
11:23:37 4734107.054 268182.540
11:23:39 4734110.352 268179.987
11:23:41 4734112.993 268177.662
11:23:43 4734115.886 268177.964
11:23:45 4734119.270 268177.440
11:23:47 4734121.472 268178.083
11:23:49 4734125.332 268178.076
11:23:51 4734128.231 268178.196
11:23:53 4734131.346 268178.323
11:23:55 4734131.302 268180.553
11:23:57 4734134.241 268183.179
11:23:59 4734131.501 268182.928
11:24:01 4734131.208 268185.218
11:24:03 4734131.170 268187.243
11:24:05 4734130.753 268189.574
11:24:07 4734130.751 268192.375
11:24:09 4734131.470 268192.126
11:24:11 4734134.104 268194.628
11:24:13 4734134.238 268196.135
11:24:15 4734136.159 268199.638
11:24:17 4734137.681 268201.215
11:24:19 4734139.675 268203.467
11:24:21 4734139.470 268205.897
11:24:23 4734139.532 268210.476
11:24:25 4734136.339 268214.535
11:24:27 4734135.655 268219.271
11:24:29 4734135.784 268223.693
11:24:31 4734132.418 268226.449
11:24:33 4734133.079 268230.684
11:24:35 4734129.379 268235.114
11:24:37 4734126.155 268239.150
11:24:39 4734125.424 268244.385
11:24:41 4734123.148 268248.703
11:24:43 4734122.773 268253.427
11:24:45 4734119.806 268257.198
11:24:47 4734118.633 268264.536
11:24:49 4734116.139 268268.915
11:24:51 4734115.855 268273.710
11:24:53 4734112.978 268277.530
11:24:55 4734108.857 268282.538
11:24:57 4734106.431 268286.737
11:24:59 4734105.911 268291.183
